product_id,title,category,brand,price,avg_rating,num_reviews,description,sales_rank
B000000000,Product Title 0,Music,Apple,43.77,2.6,40,This is a great product in category Music,89818
B000000001,Product Title 1,Home,Google,31.78,2.3,41,This is a great product in category Movies,88420
B000000002,Product Title 2,Sports,Brand_1,252.48,3.1,49,This is a great product in category Sports,16274
B000000003,Product Title 3,Music,Brand_2,257.51,4.5,52,This is a great product in category Clothing,34738
B000000004,Product Title 4,Clothing,Brand_10,250.32,1.0,52,This is a great product in category Movies,11278
B000000005,Product Title 5,Sports,Brand_15,240.89,3.8,44,This is a great product in category Books,35117
B000000006,Product Title 6,Sports,Google,112.49,2.2,46,This is a great product in category Clothing,5976
B000000007,Product Title 7,Music,Brand_19,69.92,1.8,57,This is a great product in category Movies,89391
B000000008,Product Title 8,Electronics,Google,279.06,1.0,54,This is a great product in category Music,29935
B000000009,Product Title 9,Clothing,Samsung,96.25,4.6,43,This is a great product in category Music,77855
B000000010,Product Title 10,Music,Brand_4,123.12,4.6,57,This is a great product in category Movies,64436
B000000011,Product Title 11,Clothing,Google,211.66,1.2,50,This is a great product in category Home,35940
B000000012,Product Title 12,Clothing,Brand_9,92.24,3.1,48,This is a great product in category Sports,43471
B000000013,Product Title 13,Sports,Brand_18,246.81,1.6,54,This is a great product in category Movies,42542
B000000014,Product Title 14,Home,Amazon,26.58,4.0,49,This is a great product in category Sports,9095
B000000015,Product Title 15,Clothing,Sony,238.6,3.7,42,This is a great product in category Electronics,37681
B000000016,Product Title 16,Movies,Brand_8,182.93,2.2,55,This is a great product in category Movies,9181
B000000017,Product Title 17,Sports,Brand_7,174.45,1.5,67,This is a great product in category Clothing,2143
B000000018,Product Title 18,Electronics,Apple,140.75,4.3,41,This is a great product in category Sports,31314
B000000019,Product Title 19,Home,Brand_1,87.44,3.7,52,This is a great product in category Books,29805
B000000020,Product Title 20,Movies,Google,142.43,1.0,55,This is a great product in category Books,24735
B000000021,Product Title 21,Movies,Nike,138.3,3.5,42,This is a great product in category Music,6500
B000000022,Product Title 22,Electronics,Brand_12,177.61,4.2,44,This is a great product in category Movies,54802
B000000023,Product Title 23,Home,Brand_10,88.77,3.4,43,This is a great product in category Clothing,37066
